FILE_NAME,meanH,stdH,meanS,stdS,meanV,stdV,stdHistH,kurtHistH,skewHistH,stdHistS,kurtHistS,skewHistS,stdHistV,kurtHistV,skewHistV,meanR,stdR,meanG,stdG,meanB,stdB,stdHistR,kurtHistR,skewHistR,stdHistG,kurtHistG,skewHistG,stdHistB,kurtHistB,skewHistB,meanInten,stdInten,entropyInten,stdHistInten,kurtHistInten,skewHistInten,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,entCoMatrix,ineCoMatrix,eneCoMatrix,corCoMatrix,homCoMatrix,eneFFT,entFFT,ineFFT,homFFT,SNM,EME,GCF,class_NIPS2012,class_GPB_UCM,class_GPB,class_XREN,class_POCV2006,class_BEL,class_MINCOVER,class_CGTG,class_BGTG,class_CG
101085.jpg,0.32951,0.10995,0.27259,0.18797,0.40335,0.25246,0.00794,12.4761,2.8181,0.00525,5.7539,1.889,0.00305,18.4709,2.8192,87.8267,62.0321,102.5886,64.6375,80.937,53.2625,0.00308,5.1093,1.405,0.0029,13.0231,2.3437,0.00355,2.8922,0.98797,95.6914,62.1152,7.6555,0.00284,3.9312,1.2452,0.29067,0.30488,0.1892,0.23798,0.2945,0.24449,0.20524,0.30548,0.35803,0.56569,0.9675,574.8132,0.00026,0.92556,0.17151,0.86798,-0.14841,9.4778,0.00551,0.41683,33.0117,8.1796,AD,AD,AD,NAD,AD,NAD,NAD,NAD,NAD,NAD
101087.jpg,0.2239,0.1777,0.23861,0.26268,0.63107,0.2798,0.01535,177.9871,12.4124,0.01462,215.4267,14.1193,0.01659,244.2664,15.4446,153.039,76.889,156.1587,71.5716,133.5863,86.9385,0.01491,242.5705,15.3663,0.01608,239.9558,15.2407,0.01497,242.4679,15.3599,152.6406,73.6691,6.4118,0.01502,236.7725,15.0944,0.12913,0.19684,0.0985,0.2022,0.25811,0.2681,0.16281,0.22716,0.75312,0.33195,0.8381,229.8881,0.05269,0.97881,0.49715,0.88615,-0.08608,4.2067,0.00415,0.3953,14.2859,5.4267,AD,AD,AD,AD,AD,AD,AD,AD,AD,NAD
102061.jpg,0.38703,0.16612,0.33717,0.18374,0.55094,0.30048,0.00724,19.2736,3.4194,0.00365,3.3163,1.0921,0.00882,162.019,11.5919,93.8169,53.8775,120.7923,55.5092,127.5293,81.4172,0.0036,2.9403,0.91475,0.00304,4.2327,1.165,0.00776,150.8284,11.0376,113.5003,54.9274,7.5641,0.00297,3.376,0.89904,0.19415,0.27629,0.135,0.27595,0.33251,0.3565,0.22528,0.30789,0.408,0.49186,0.86681,341.9571,0.00055,0.94324,0.40192,0.87419,-0.11719,5.959,0.00431,0.95382,13.3382,5.0331,AD,AD,AD,AD,AD,AD,NAD,NAD,NAD,NAD
103070.jpg,0.44701,0.13545,0.22596,0.09848,0.38842,0.15836,0.00866,36.7081,5.0609,0.00543,2.9807,1.1789,0.00417,1.9379,0.75357,78.8767,35.344,95.6338,36.578,92.6709,41.6756,0.00455,2.1098,0.86323,0.00424,1.9061,0.71753,0.00468,3.3121,1.2747,90.2839,36.2725,7.0607,0.00443,2.0899,0.84315,0.09312,0.14224,0.12367,0.34086,0.68512,0.45906,0.21324,0.16671,0.18054,0.23159,0.6917,117.9886,0.00057,0.95518,0.3519,0.9432,-0.09739,-5.5846,0.00442,0.62154,10.8356,4.9587,AD,AD,AD,NAD,AD,AD,NAD,NAD,NAD,NAD
105025.jpg,0.1868,0.19794,0.16057,0.1236,0.75787,0.21599,0.00988,45.2508,5.4495,0.00753,105.35,8.3509,0.01409,242.1584,15.3422,189.9419,54.6242,181.6666,57.9026,168.0802,62.4975,0.01034,225.9967,14.5706,0.01099,231.4984,14.8404,0.00931,234.4966,14.9683,182.601,56.7049,7.1514,0.00725,176.7765,12.2405,0.16863,0.21588,0.1679,0.31281,0.44073,0.36076,0.21784,0.23989,0.47888,0.37443,0.84852,276.0841,0.01146,0.95704,0.32265,0.95591,-0.09528,-4.2842,0.00429,0.05215,9.7443,5.4928,AD,AD,AD,AD,AD,AD,AD,AD,AD,NAD
106024.jpg,0.53383,0.06736,0.15357,0.05998,0.71533,0.25012,0.01199,24.3616,4.2302,0.00762,4.1805,1.6811,0.00635,141.7779,10.588,155.2016,58.3464,173.6858,62.6793,181.7968,64.4995,0.00269,6.262,0.89215,0.0044,94.871,7.9121,0.00615,131.0674,10.0982,169.075,61.4534,7.5129,0.00341,27.2768,3.5939,0.08962,0.15932,0.09572,0.29719,0.57616,0.52896,0.23276,0.21383,0.28359,0.27752,0.55657,75.1095,0.00163,0.99006,0.47443,0.90122,-0.05537,-2.2866,0.00328,0.1192,6.0184,4.3667,AD,AD,AD,AD,AD,AD,AD,AD,AD,NAD
108005.jpg,0.26753,0.13877,0.29711,0.11934,0.34873,0.17689,0.00578,5.7563,1.715,0.00465,1.9757,0.76769,0.00434,3.3115,1.2072,79.1607,48.7175,83.4657,39.4413,65.1196,31.3488,0.0041,2.8935,1.1006,0.00467,3.038,1.1437,0.00592,4.2013,1.5798,80.0882,40.4634,7.0571,0.00464,3.1487,1.1807,0.13774,0.19436,0.17463,0.36112,0.64675,0.36624,0.1999,0.21637,0.20942,0.31511,0.83991,324.2,0.00037,0.90096,0.25101,0.91144,-0.12377,-9.0019,0.00548,0.37815,18.4826,5.9199,AD,AD,AD,NAD,AD,NAD,NAD,NAD,NAD,NAD
108070.jpg,0.29426,0.10543,0.36823,0.12883,0.32712,0.18033,0.00654,10.203,2.3432,0.00447,2.4354,0.88996,0.00482,3.119,1.2342,66.7982,50.5215,81.0856,42.423,56.9447,35.3175,0.0051,5.2642,1.721,0.00485,3.1673,1.2433,0.00644,5.6806,1.9717,74.0618,43.3783,6.953,0.00509,3.3426,1.3421,0.22158,0.27967,0.21643,0.32097,0.41777,0.31254,0.2296,0.28662,0.30317,0.4731,0.91375,596.2283,0.00033,0.84162,0.20101,0.86748,-0.177,-12.2845,0.00629,0.24029,24.3007,6.5058,AD,NAD,NAD,NAD,NAD,NAD,NAD,NAD,NAD,NAD
108082.jpg,0.27195,0.18061,0.21474,0.10563,0.27642,0.20763,0.01171,76.8241,7.3128,0.00819,64.8094,6.7649,0.00916,74.7675,7.7617,67.3446,54.3086,64.8825,46.8044,56.9469,42.1363,0.0084,70.5519,7.4464,0.00965,80.1205,8.0106,0.00911,44.5133,5.8072,64.6982,48.2196,6.5034,0.00953,76.0011,7.8583,0.13469,0.1948,0.15045,0.34757,0.53411,0.36242,0.18246,0.21972,0.44196,0.32703,0.83469,248.9035,0.00938,0.94653,0.35718,0.85744,-0.12545,-9.5208,0.0058,0.18481,18.4287,6.591,AD,AD,AD,NAD,NAD,NAD,NAD,NAD,NAD,NAD
109053.jpg,0.26925,0.16545,0.16689,0.08285,0.41264,0.15154,0.00948,50.0226,5.5732,0.00716,6.7926,2.132,0.00443,2.3825,0.95756,99.551,42.1055,100.0017,33.4355,90.5528,30.8735,0.00405,2.561,0.8939,0.00489,2.4779,1.0335,0.00516,2.7019,1.1315,98.7874,35.3304,6.9925,0.00467,2.4176,0.98369,0.13004,0.18014,0.15194,0.34462,0.57487,0.45652,0.24356,0.21951,0.25472,0.31228,0.73408,168.0849,0.00061,0.93269,0.33176,0.94676,-0.10714,-5.5484,0.0046,0.78716,9.8151,4.3825,AD,AD,AD,NAD,NAD,NAD,NAD,NAD,NAD,NAD
119082.jpg,0.48396,0.22459,0.2421,0.21742,0.44688,0.27763,0.00617,19.3099,3.2296,0.00542,26.4835,3.9101,0.00245,3.5445,1.0065,101.0751,73.8887,104.9837,73.38,109.2929,70.0629,0.00298,9.7489,1.9062,0.00321,18.5353,2.9079,0.00287,4.2187,1.1874,104.3011,72.8698,7.6296,0.00306,11.7367,2.1985,0.1888,0.28757,0.13175,0.25782,0.41355,0.36247,0.17228,0.30191,0.37907,0.48052,0.88924,387.0615,0.00066,0.96356,0.35249,0.83719,-0.09983,-7.6976,0.00489,0.31148,27.4409,9.1571,AD,AD,AD,AD,AD,NAD,AD,AD,AD,NAD
12084.jpg,0.16053,0.21334,0.44963,0.17786,0.49112,0.17007,0.00904,14.3461,3.4195,0.00329,2.573,0.59386,0.00344,1.6494,0.29299,118.614,51.8828,86.345,32.5802,73.973,32.2265,0.00308,1.9459,0.46687,0.00608,6.7431,2.0765,0.00647,6.1357,2.0644,94.5866,33.8741,7.0056,0.00455,2.5886,0.95987,0.18773,0.23318,0.2133,0.34879,0.51082,0.34817,0.24772,0.24903,0.2691,0.40654,0.76855,227.8315,0.00032,0.90075,0.22639,0.93664,-0.11669,-6.6842,0.00468,0.72228,14.8838,4.7108,AD,NAD,AD,AD,NAD,NAD,AD,AD,AD,NAD
